City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,mataura,-46.1927,168.8643,10.82,62,66,2.05,NZ,1675783609
83,qaanaaq,77.484,-69.3632,-29.83,73,100,2.7,GL,1675783609
84,hochstadt,49.2475,8.2089,6.55,50,0,0.45,DE,1675783610
85,senneterre,48.3835,-77.2328,-6.65,76,100,7.43,CA,1675783610
86,waipawa,-41.4122,175.5153,13.39,82,4,2.25,NZ,1675783611
87,faanui,-16.4833,-151.75,26.32,79,29,5.51,PF,1675783611
88,novoseleznevo,55.6821,69.2056,-12.31,96,100,2.41,RU,1675783611
89,lodja,-3.4833,23.4333,30.85,45,64,1.02,CD,1675783612
90,ancud,-41.8697,-73.8203,16.45,66,2,1.92,CL,1675783613
91,sterling,39.0062,-77.4286,5.3,72,75,3.09,US,1675783388
92,hilo,19.7297,-155.09,22.93,85,100,1.34,US,1675783613
93,lavrentiya,65.5833,-171.0,-24.99,90,100,2.56,RU,1675783614
94,tual,-5.6667,132.75,27.19,80,100,7.47,ID,1675783614
95,new norfolk,-42.7826,147.0587,13.72,60,44,0.8,AU,1675783614
96,saint-pierre,-21.3393,55.4781,27.82,69,40,8.75,RE,1675783615
97,grand gaube,-20.0064,57.6608,26.88,77,33,2.68,MU,1675783615
98,buala,-8.145,159.5921,26.16,88,100,3.53,SB,1675783524
99,rovaniemi,66.5,25.7167,1.67,93,20,6.17,FI,1675783616
100,aswan,24.0934,32.907,18.17,22,85,5.21,EG,1675783617
101,tuktoyaktuk,69.4541,-133.0374,-34.54,97,96,1.74,CA,1675783617
102,georgetown,5.4112,100.3354,26.96,89,20,2.06,MY,1675783594
103,kloulklubed,7.0419,134.2556,27.8,77,100,7.3,PW,1675783618
104,guerrero negro,27.9769,-114.0611,13.29,40,5,4.4,MX,1675783465
105,rudnaya pristan,44.3614,135.8116,-10.0,76,9,2.9,RU,1675783618
106,samarai,-10.6167,150.6667,26.51,84,100,5.49,PG,1675783619
107,george town,5.4112,100.3354,26.96,89,20,2.06,MY,1675783619
108,belaya gora,68.5333,146.4167,-41.56,100,98,0.24,RU,1675783620
109,port hueneme,34.1478,-119.1951,14.27,38,0,8.23,US,1675783620
110,barcelos,41.5388,-8.6151,16.08,40,0,1.43,PT,1675783483
111,hithadhoo,-0.6,73.0833,27.81,67,100,5.19,MV,1675783621
112,hofn,64.2539,-15.2082,3.69,63,99,16.76,IS,1675783621
113,brantford,43.1334,-80.2664,3.56,78,100,2.68,CA,1675783394
114,magadan,59.5667,150.8,-28.6,80,67,3.55,RU,1675783622
115,kavieng,-2.5744,150.7967,27.03,79,99,2.11,PG,1675783419
116,yellowknife,62.456,-114.3525,-15.04,97,100,2.49,CA,1675783623
117,norman wells,65.282,-126.8329,-20.29,99,99,1.22,CA,1675783624
118,cidreira,-30.1811,-50.2056,26.32,62,3,3.93,BR,1675783624
119,kieta,-6.2167,155.6333,26.02,86,100,1.88,PG,1675783625
120,praia,14.9215,-23.5087,24.3,46,20,12.86,CV,1675783626
121,mbandaka,0.0487,18.2603,30.08,42,95,1.34,CD,1675783626
122,artyom,40.4723,50.333,4.08,83,99,12.22,AZ,1675783627
123,srednekolymsk,67.45,153.6833,-33.41,97,100,2.38,RU,1675783628
124,vardo,70.3705,31.1107,3.89,67,100,14.39,NO,1675783629
125,lebanon,36.2081,-86.2911,15.03,53,0,6.17,US,1675783629
126,alofi,-19.0595,-169.9187,23.94,94,100,3.09,NU,1675783630
127,setubal,38.5244,-8.8882,14.55,61,63,5.49,PT,1675783488
128,port alfred,-33.5906,26.891,23.43,86,82,2.68,ZA,1675783631
129,lake city,30.1897,-82.6393,18.22,55,0,4.12,US,1675783632
130,chernogorsk,53.8236,91.2842,-16.93,85,100,1.0,RU,1675783632
131,bluff,-46.6,168.3333,11.0,75,74,11.72,NZ,1675783633
132,jamestown,42.097,-79.2353,4.84,67,0,8.75,US,1675783633
133,tigil,57.8,158.6667,-20.94,98,100,2.17,RU,1675783634
134,camacha,33.0833,-16.3333,13.68,72,40,8.75,PT,1675783634
135,aiken,33.5835,-81.5998,15.18,57,0,2.06,US,1675783635
136,toowoomba,-27.55,151.9667,16.81,90,89,3.13,AU,1675783625
